##FastQC	0.11.8
>>Basic Statistics	pass
#Measure	Value
Filename	father_R2_fq_gz.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	2023471
Sequences flagged as poor quality	0
Sequence length	101
%GC	44
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1106	4	0.4412740064405938
1106	5	0.4071946412454892
1106	6	0.45693421944517354
1106	7	0.5501399525353605
1106	8	0.4636789573039479
1106	9	0.7950788669183666
1106	10-11	0.7923634097454411
1106	12-13	0.5519310913056827
1106	14-15	0.6752210135661088
1106	16-17	0.6765464594718722
1106	18-19	0.625489876917527
1106	20-21	0.7326720702583458
1106	22-23	0.6477535350982251
1106	24-25	0.7730575350834883
1106	26-27	0.6428161151094756
1106	28-29	0.6132573463523912
1106	30-31	0.5812388940554882
1106	32-33	0.588144161990023
1106	34-35	0.8332181754655608
1106	36-37	0.7987547609906969
1106	38-39	0.6816304907734647
1106	40-41	0.659330357046862
1106	42-43	0.47680556245283157
1106	44-45	0.556457425853651
1106	46-47	0.4134222004007526
1106	48-49	0.6128725693753623
1106	50-51	0.5959398013297488
1106	52-53	0.7104450820058901
1106	54-55	0.7104080623633493
1106	56-57	0.5336375989246847
1106	58-59	0.638766466629832
1106	60-61	0.5973529560230944
1106	62-63	0.6240482076971574
1106	64-65	0.6492606347911547
1106	66-67	0.666136173576227
1106	68-69	0.7377788266920717
1106	70-71	0.8135538727566498
1106	72-73	0.823998547405651
1106	74-75	0.7153642786065078
1106	76-77	0.7819195445674723
1106	78-79	0.8323811233415697
1106	80-81	0.7104201763770064
1106	82-83	0.8308186161905553
1106	84-85	0.7275989088910535
1106	86-87	0.9443237584074922
1106	88-89	0.8616214357664767
1106	90-91	1.0458251096330713
1106	92-93	1.0680944771951424
1106	94-95	1.1735132394137402
1106	96-97	1.17344822471102
1106	98-99	1.32421642802624
1106	100-101	1.4056057738635062
1107	1	0.1729269421222206
1107	2	0.643827878870745
1107	3	0.20982546221599563
1107	4	0.38517052484859704
1107	5	0.36856173341827514
1107	6	0.41657976767425
1107	7	0.34965718045297933
1107	8	0.35191675230161934
1107	9	0.4820794052629367
1107	10-11	0.5017461361933115
1107	12-13	0.37751469158305184
1107	14-15	0.2907437202984511
1107	16-17	0.3499917889761903
1107	18-19	0.4091809776539179
1107	20-21	0.6350879806578362
1107	22-23	0.3728611148828591
1107	24-25	0.6219224212913517
1107	26-27	0.39397881460447337
1107	28-29	0.48389466076166343
1107	30-31	0.4913951788718549
1107	32-33	0.5801474277094272
1107	34-35	0.5416979046532902
1107	36-37	0.4530701408890465
1107	38-39	0.462913970190705
1107	40-41	0.40845599276584466
1107	42-43	0.5718975801575965
1107	44-45	0.40281453102157627
1107	46-47	0.5080363704499007
1107	48-49	0.5149209303656974
1107	50-51	0.47644112134351246
1107	52-53	0.26963836285953846
1107	54-55	0.5156310519939709
1107	56-57	0.5850642120421128
1107	58-59	0.5162257832887462
1107	60-61	0.4935045944979848
1107	62-63	0.5348592630129545
1107	64-65	0.5435677300656678
1107	66-67	0.6255504297248535
1107	68-69	0.5979593102752361
1107	70-71	0.6660443403142509
1107	72-73	0.7052623736807959
1107	74-75	0.5373755526470632
1107	76-77	0.74116835334641
1107	78-79	0.7889191577421428
1107	80-81	0.8384412342062646
1107	82-83	0.9095854907081389
1107	84-85	0.7117648714315408
1107	86-87	0.7985997206092819
1107	88-89	0.7767067152510911
1107	90-91	0.8022257502987671
1107	92-93	0.9272977628796326
1107	94-95	0.9434239669097799
1107	96-97	1.0055702827559756
1107	98-99	1.2412656847720385
1107	100-101	1.1712993203242519
1108	1	0.364624148511151
1108	2	0.7256835021904919
1108	3	0.4452110878047293
1108	4	0.436368105965073
1108	5	0.37948383821822773
1108	6	0.41931115334109137
1108	7	0.27718435679495457
1108	8	0.3259453828615122
1108	9	0.3051418231838525
1108	10-11	0.7739955844155872
1108	12-13	0.3431373065625323
1108	14-15	0.5115179796099127
1108	16-17	0.4808211229237571
1108	18-19	0.4980034393045045
1108	20-21	0.45013071334989974
1108	22-23	0.471107630604223
1108	24-25	0.5832008610495976
1108	26-27	0.550533280738037
1108	28-29	0.5721515932213137
1108	30-31	0.3985903775462134
1108	32-33	0.4559527481530452
1108	34-35	0.6499752580454299
1108	36-37	0.598215614249014
1108	38-39	0.5385891673523986
1108	40-41	0.4469283076194941
1108	42-43	0.54375519744044
1108	44-45	0.5536109989565858
1108	46-47	0.6950928855524481
1108	48-49	0.690094456723827
