##FastQC	0.11.8
>>Basic Statistics	pass
#Measure	Value
Filename	proband_R2_fq_gz.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	2392554
Sequences flagged as poor quality	0
Sequence length	101
%GC	44
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1105	72-73	0.9270539825110973
1105	74-75	0.9068994891259621
1105	76-77	0.8432059195161017
1105	78-79	0.8763377574073914
1105	80-81	0.9926797532060405
1105	82-83	1.0339236657931394
1105	84-85	1.0430093855052078
1105	86-87	1.0544679780108765
1105	88-89	1.0592073939614899
1105	90-91	1.0517103856835313
1105	92-93	1.2142814446968444
1105	94-95	1.1542942192693708
1105	96-97	1.3328341871178147
1105	98-99	1.2148614130400546
1105	100-101	1.2656636192000548
1106	1	0.310926133200244
1106	2	0.3215353389904152
1106	3	0.37735901178100306
1106	4	0.37928782366631
1106	5	0.43028623623757056
1106	6	0.4256504585404173
1106	7	0.42487979105690243
1106	8	0.6881424482960057
1106	9	0.5401482752986269
1106	10-11	0.5948183318440812
1106	12-13	0.5942579115137434
1106	14-15	0.6014590925489003
1106	16-17	0.6460131241447513
1106	18-19	0.5574983251931869
1106	20-21	0.7294605480345169
1106	22-23	0.7237986133665331
1106	24-25	0.6787687310566852
1106	26-27	0.8886897846379256
1106	28-29	0.7568111472354531
1106	30-31	0.8494843244087278
1106	32-33	0.7752832722905794
1106	34-35	0.8682739075069819
1106	36-37	0.7085232467512697
1106	38-39	0.7367785580937039
1106	40-41	0.8239481071691941
1106	42-43	0.7544182021423822
1106	44-45	0.7431836490544654
1106	46-47	0.8140499986093914
1106	48-49	0.7638405179861962
1106	50-51	0.7461670078892553
1106	52-53	0.7212192271670119
1106	54-55	0.9946807683735202
1106	56-57	0.8183458466181008
1106	58-59	0.9069360985686714
1106	60-61	0.9101684161231063
1106	62-63	1.0259617806154537
1106	64-65	0.8517412466112404
1106	66-67	0.9264037378825236
1106	68-69	0.902303150169196
1106	70-71	0.9075694239232845
1106	72-73	0.9851534046127597
1106	74-75	0.9029246362213996
1106	76-77	0.9831634616790978
1106	78-79	0.9928774764518238
1106	80-81	0.8891296424749555
1106	82-83	0.9424173626389418
1106	84-85	0.8915140244170274
1106	86-87	0.9005429213349032
1106	88-89	0.8191043943939214
1106	90-91	1.031044787014924
1106	92-93	1.059942620674093
1106	94-95	0.9807512503658096
1106	96-97	1.0166230576607198
1106	98-99	1.0092586821100404
1106	100-101	1.1386263965191823
1107	1	0.014699998369223977
1107	2	0.10835946399157592
1107	3	0.1447759952947152
1107	4	0.054475827048150904
1107	5	0.14877047967982548
1107	6	0.10890009431437875
1107	7	0.26589140307285675
1107	8	0.03549324207027382
1107	9	0.17961379539356415
1107	10-11	0.19897921619227077
1107	12-13	0.15059962228609436
1107	14-15	0.22963008398962614
1107	16-17	0.3407181530731478
1107	18-19	0.2438932220910388
1107	20-21	0.31295386551509097
1107	22-23	0.13902102094307622
1107	24-25	0.3555695411094817
1107	26-27	0.4455749933311992
1107	28-29	0.2844061317204307
1107	30-31	0.36583608080898244
1107	32-33	0.396405837594358
1107	34-35	0.32778903469237974
1107	36-37	0.20974101502763176
1107	38-39	0.3340794918761105
1107	40-41	0.21604764339923577
1107	42-43	0.4836909313358788
1107	44-45	0.3068210050887359
1107	46-47	0.40166296790556544
1107	48-49	0.4762495255018422
1107	50-51	0.38887054630001927
1107	52-53	0.49675114444456625
1107	54-55	0.3314978985700421
1107	56-57	0.39995392819449194
1107	58-59	0.42232626941157747
1107	60-61	0.35349665301296085
1107	62-63	0.4008928329702073
1107	64-65	0.4472010421708674
1107	66-67	0.45341136686144523
1107	68-69	0.43117104504032255
1107	70-71	0.614678146236578
1107	72-73	0.4870924220811972
1107	74-75	0.39464691718718115
1107	76-77	0.4796916696293536
1107	78-79	0.36486718944715335
1107	80-81	0.4673061081106198
1107	82-83	0.5769683522037141
1107	84-85	0.46000100495674445
1107	86-87	0.5745348451366752
1107	88-89	0.6549025560248118
1107	90-91	0.5359449918010348
1107	92-93	0.7112269596426479
1107	94-95	0.8299071679225101
1107	96-97	0.8260574484740637
1107	98-99	0.8953468480210454
1107	100-101	0.7795106454676421
1108	1	0.0020270985817845144
1108	2	0.1269519287954992
1108	3	0.10700975272671087
1108	4	0.11155278093126952
1108	5	0.13694736886992587
1108	6	0.16847466071713768
1108	7	0.07214228875105277
1108	8	0.1769252681939335
1108	9	0.28029830911772535
1108	10-11	0.33668038066656436
1108	12-13	0.25701524410920484
1108	14-15	0.31844289012622085
1108	16-17	0.3133986003791449
1108	18-19	0.3124637374787369
1108	20-21	0.33597472131128114
1108	22-23	0.388266731179975
1108	24-25	0.1684826522274392
1108	26-27	0.18925502475352118
1108	28-29	0.07164512620612129
1108	30-31	0.06418640889499017
1108	32-33	0.18052031342689645
1108	34-35	0.23584246804316678
1108	36-37	0.2288313079945823
1108	38-39	0.2421922271584478
1108	40-41	0.141939713883815
1108	42-43	0.2652326275251582
1108	44-45	0.20518804553727676
1108	46-47	0.25974851671798405
1108	48-49	0.3137052415919186
1108	50-51	0.16328915632435326
1108	52-53	0.33154127721928006
1108	54-55	0.31032133284502095
1108	56-57	0.22365452275411712
1108	58-59	0.2612770873161381
1108	60-61	0.32185460563302826
1108	62-63	0.49943269619068786
1108	64-65	0.36335011336398537
1108	66-67	0.3322553642737205
1108	68-69	0.24990722075887106
1108	70-71	0.3117042698926653
1108	72-73	0.3685388501025173
1108	74-75	0.3616252142205454
1108	76-77	0.41813025747322996
1108	78-79	0.5192917296646442
1108	80-81	0.5529950117180249
1108	82-83	0.5543839432206283
1108	84-85	0.5189236351899496
1108	86-87	0.5789761747321904
1108	88-89	0.525156322082541
1108	90-91	0.5371517476003014
1108	92-93	0.6570052782403515
1108	94-95	0.6905552533172923
1108	96-97	0.8312421316323118
1108	98-99	0.920674780000958
1108	100-101	0.8535324716590722
1109	1	0.08272619794691138
1109	2	0.14279572032067023
1109	3	0.062138942155321786
1109	4	0.11477513439354681
1109	5	0.11522435100487627
1109	6	0.03803763133576865
1109	7	-0.0058777909772800285
1109	8	0.1639583406876568
1109	9	0.3273439314416535
1109	10-11	0.2394446653262392
1109	12-13	0.11824402013164814
1109	14-15	0.16292354862319058
1109	16-17	0.2567708135786191
1109	18-19	0.253460710754986
1109	20-21	0.17531622433800464
1109	22-23	0.18840773221349139
1109	24-25	0.21054783752199313
1109	26-27	0.33242385688108556
1109	28-29	0.22117340023535093
1109	30-31	0.25788934703170696
1109	32-33	0.1880177296383181
1109	34-35	0.20292610897038088
1109	36-37	0.11860393460022323
1109	38-39	0.1619666993273512
1109	40-41	0.207712266666924
1109	42-43	0.10168250202685414
1109	44-45	0.17689150043170798
1109	46-47	0.19295462922352158
1109	48-49	0.24014108981280202
1109	50-51	0.0032444936933160307
1109	52-53	0.10522465238538103
1109	54-55	0.04693915360391543
1109	56-57	0.1281451472927202
1109	58-59	0.06734197732056657
1109	60-61	0.10744038741363227
1109	62-63	0.2191754246714197
1109	64-65	0.08929208885491136
1109	66-67	0.24436004462216943
1109	68-69	0.31984151870660327
1109	70-71	0.4244984526772484
1109	72-73	0.34060846474891093
1109	74-75	0.31877529542532557
1109	76-77	0.1981664305132469
1109	78-79	0.2818673977585462
1109	80-81	0.3706433950045991
1109	82-83	0.3148316768689412
1109	84-85	0.46358811178821213
1109	86-87	0.5500510307782562
1109	88-89	0.47370976959472344
1109	90-91	0.5568191770997792
1109	92-93	0.4158374058056822
1109	94-95	0.4881017615115901
1109	96-97	0.5808656367260703
1109	98-99	0.4511472441970312
1109	100-101	0.4084796885496651
1110	1	-0.11480726352965576
1110	2	-0.14466514430772293
1110	3	-0.17683584751687675
1110	4	-0.10423942434456279
1110	5	-0.35253335192061996
1110	6	-0.24758396579488817
1110	7	-0.14306987943341198
1110	8	-0.28017537675305704
1110	9	-0.16272878972801408
1110	10-11	-0.13676531092144018
1110	12-13	-0.08820446691025552
1110	14-15	-0.15740391420295197
1110	16-17	-0.16618066166862633
